,GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Unnamed: 10,SeriesFirstDown,Unnamed: 12,NextScore,Description,TeamWin,Unnamed: 16,Unnamed: 17,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
34520,2019112408,2019-11-24,3,13,43,TEN,JAX,1,10,47,,1,,0,(13:43) 17-R.TANNEHILL PASS DEEP RIGHT TO 11-A.BROWN PUSHED OB AT JAX 17 FOR 36 YARDS (37-T.HERNDON).,0,,,2019,36,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,0,,47,OWN,0,,0,,0
34535,2019112408,2019-11-24,3,7,7,TEN,JAX,1,10,35,,1,,0,"(7:07) (NO HUDDLE) 17-R.TANNEHILL PASS SHORT MIDDLE TO 11-A.BROWN FOR 65 YARDS, TOUCHDOWN.",0,,,2019,65,NO HUDDLE,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
35605,2019120103,2019-12-01,4,11,56,TEN,IND,2,7,34,,1,,0,(11:56) (NO HUDDLE) 17-R.TANNEHILL PASS DEEP LEFT TO 11-A.BROWN RAN OB AT 50 FOR 16 YARDS.,0,,,2019,16,NO HUDDLE,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,34,OWN,0,,0,,0
36111,2019120102,2019-12-01,4,3,37,NYJ,CIN,2,10,14,,1,,0,(3:37) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 11-RO.ANDERSON TO NYJ 26 FOR 12 YARDS (22-W.JACKSON III). CIN-93-A.BROWN WAS INJURED DURING THE PLAY.,0,,,2019,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,14,OWN,0,,0,,0
37093,2019120802,2019-12-08,3,12,55,CLE,CIN,1,10,40,,0,,0,"(12:55) 24-N.CHUBB RIGHT GUARD TO CIN 3 FOR 57 YARDS (22-W.JACKSON III). PENALTY ON CIN-93-A.BROWN, DEFENSIVE OFFSIDE, DECLINED.",0,,,2019,57,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,1,0,0,RIGHT GUARD,40,OWN,0,CIN,0,DEFENSIVE OFFSIDE,0
38748,2019121504,2019-12-15,1,15,0,KC,DEN,0,0,35,,1,,0,7-H.BUTKER KICKS 62 YARDS FROM KC 35 TO DEN 3. 11-D.SPENCER TO DEN 26 FOR 23 YARDS (30-A.BROWN).,0,,,2019,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
38862,2019121504,2019-12-15,4,8,5,KC,DEN,4,6,46,,0,,0,"(8:05) 2-D.COLQUITT PUNTS 38 YARDS TO DEN 16, CENTER-41-J.WINCHESTER, DOWNED BY KC-30-A.BROWN.",0,,,2019,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,46,OWN,0,,0,,0
39147,2019121507,2019-12-15,1,5,4,TEN,HOU,1,10,16,,0,,0,(5:04) 17-R.TANNEHILL PASS INCOMPLETE SHORT RIGHT TO 11-A.BROWN.,0,,,2019,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,16,OWN,0,,0,,0
39185,2019121507,2019-12-15,3,14,1,TEN,HOU,3,5,29,,1,,0,(14:01) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 11-A.BROWN PUSHED OB AT TEN 38 FOR 9 YARDS (28-V.HARGREAVES).,0,,,2019,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,29,OWN,0,,0,,0
39189,2019121507,2019-12-15,3,11,46,TEN,HOU,3,3,45,,1,,0,(11:46) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 11-A.BROWN TO HOU 44 FOR 11 YARDS (55-B.MCKINNEY).,0,,,2019,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,45,OWN,0,,0,,0
41418,2019112408,2019-11-24,1,7,48,TEN,JAX,2,8,33,,0,,0,(7:48) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT MIDDLE TO 11-A.BROWN (37-T.HERNDON).,0,,,2019,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,33,OWN,0,,0,,0
41634,2019110302,2019-11-03,4,14,31,TEN,CAR,1,10,77,,0,,0,"(14:31) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE DEEP LEFT TO 11-A.BROWN.",0,,,2019,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,23,OPP,0,,0,,0
42130,2019092201,2019-09-22,1,4,46,MIA,DAL,1,10,38,,1,,0,(4:46) 3-J.ROSEN PASS SHORT LEFT TO 83-N.O'LEARY TO DAL 43 FOR 19 YARDS (30-A.BROWN).,0,,,2019,19,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,38,OWN,0,,0,,0
